epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3643,44.2389,4.2923,3.78184,0.00023,0.01704,0.0004,9e-05,3.95139,4.20102,3.40704,0.000367141,0.000367141,0.000367141
2,55.2518,2.63273,2.54438,2.59775,0.58318,0.3681,0.37224,0.14442,2.24503,2.05044,2.32773,0.000728348,0.000728348,0.000728348
3,80.7488,2.09579,1.82563,2.12327,0.84092,0.60061,0.66784,0.29054,1.8665,1.39378,1.95558,0.00108039,0.00108039,0.00108039
4,107.28,1.84262,1.46678,1.84213,0.90516,0.69966,0.75405,0.36233,1.63408,1.13262,1.71967,0.00106975,0.00106975,0.00106975
5,134.038,1.71124,1.29453,1.68627,0.94017,0.72285,0.77788,0.40575,1.51962,1.0393,1.58899,0.00105601,0.00105601,0.00105601
6,160.505,1.64775,1.20465,1.612,0.60234,0.35498,0.4337,0.21375,1.9307,2.42629,1.95977,0.00104226,0.00104226,0.00104226
7,186.111,1.61409,1.13654,1.5646,0.73907,0.74505,0.76314,0.38319,1.63283,0.9933,1.59496,0.00102851,0.00102851,0.00102851
8,212.341,1.57512,1.06596,1.52726,0.7524,0.78811,0.77818,0.43065,1.43571,0.89934,1.4714,0.00101476,0.00101476,0.00101476
9,237.856,1.54277,1.02554,1.48714,0.78089,0.78571,0.78442,0.43092,1.44251,0.88055,1.45966,0.00100101,0.00100101,0.00100101
10,263.419,1.51368,0.98836,1.4609,0.78931,0.78036,0.79464,0.45949,1.37917,0.83532,1.43453,0.000987262,0.000987262,0.000987262
11,289.323,1.49075,0.97181,1.45861,0.83004,0.77097,0.80242,0.45261,1.4208,0.86071,1.43738,0.000973514,0.000973514,0.000973514
12,315.34,1.46428,0.92705,1.42974,0.81463,0.79653,0.8291,0.47812,1.36388,0.79023,1.38474,0.000959765,0.000959765,0.000959765
13,341.254,1.45795,0.91702,1.42267,0.77345,0.8028,0.79349,0.47095,1.32018,0.80693,1.36248,0.000946016,0.000946016,0.000946016
14,366.85,1.44345,0.88602,1.40019,0.82317,0.82085,0.83349,0.50172,1.29734,0.72639,1.34226,0.000932268,0.000932268,0.000932268
15,393.263,1.42662,0.87695,1.40691,0.85004,0.79985,0.81574,0.48573,1.3528,0.75861,1.38536,0.000918519,0.000918519,0.000918519
16,419.947,1.41061,0.854,1.37989,0.79909,0.87085,0.8197,0.48868,1.32166,0.72418,1.35486,0.000904771,0.000904771,0.000904771
17,446.24,1.39675,0.83054,1.36252,0.86878,0.90356,0.87748,0.52853,1.28845,0.71199,1.32987,0.000891022,0.000891022,0.000891022
18,472.272,1.37914,0.82267,1.35541,0.81832,0.8724,0.85284,0.51234,1.31094,0.71569,1.33102,0.000877273,0.000877273,0.000877273
19,498.872,1.36061,0.79232,1.35343,0.82494,0.8883,0.84951,0.52515,1.27861,0.6642,1.30444,0.000863525,0.000863525,0.000863525
20,852.033,1.34297,0.79427,1.32404,0.82408,0.87332,0.85262,0.51319,1.27158,0.68043,1.30747,0.000849776,0.000849776,0.000849776
21,876.171,1.33443,0.77335,1.3202,0.82995,0.87435,0.84692,0.54151,1.21377,0.63121,1.26444,0.000836027,0.000836027,0.000836027
22,900.761,1.33395,0.76552,1.31786,0.86345,0.87276,0.86479,0.54266,1.23021,0.62616,1.28429,0.000822279,0.000822279,0.000822279
23,928.314,1.30513,0.74488,1.30455,0.90817,0.87045,0.88501,0.5522,1.2171,0.62536,1.26474,0.00080853,0.00080853,0.00080853
24,955.148,1.28707,0.72716,1.2871,0.92336,0.88535,0.91438,0.58438,1.17504,0.57694,1.2342,0.000794782,0.000794782,0.000794782
25,982.006,1.28683,0.70981,1.28519,0.85917,0.84114,0.8729,0.53255,1.24812,0.63741,1.30127,0.000781033,0.000781033,0.000781033
26,1009.15,1.27344,0.69951,1.2809,0.89538,0.87622,0.89671,0.58671,1.17109,0.57649,1.22985,0.000767284,0.000767284,0.000767284
27,1036.26,1.26423,0.69124,1.26684,0.91772,0.87711,0.88768,0.58089,1.15621,0.57916,1.21611,0.000753536,0.000753536,0.000753536
28,1064.06,1.26173,0.69016,1.26771,0.86829,0.90514,0.86788,0.57934,1.15866,0.55198,1.23293,0.000739787,0.000739787,0.000739787
29,1091.99,1.26271,0.68736,1.26747,0.92764,0.88848,0.91007,0.58227,1.16277,0.58398,1.23091,0.000726038,0.000726038,0.000726038
30,1120.7,1.25346,0.68279,1.26829,0.94679,0.88629,0.91745,0.58918,1.21273,0.55336,1.27376,0.00071229,0.00071229,0.00071229
31,1149.54,1.25185,0.67551,1.25879,0.89582,0.89633,0.90425,0.5855,1.16731,0.57781,1.22384,0.000698541,0.000698541,0.000698541
32,1177.47,1.24951,0.66538,1.26359,0.91721,0.9018,0.90478,0.60454,1.17128,0.53857,1.22806,0.000684793,0.000684793,0.000684793
33,1206.88,1.20965,0.65467,1.24753,0.9224,0.88637,0.90762,0.61305,1.13386,0.54743,1.20623,0.000671044,0.000671044,0.000671044
34,1235.55,1.20731,0.63256,1.23899,0.92593,0.89668,0.92768,0.61254,1.15348,0.5318,1.21226,0.000657295,0.000657295,0.000657295
35,1264.62,1.20544,0.63473,1.23501,0.99239,0.89087,0.91959,0.61109,1.1672,0.53087,1.21002,0.000643547,0.000643547,0.000643547
36,1293.59,1.19228,0.62529,1.22918,0.94906,0.90321,0.92953,0.62289,1.14998,0.50643,1.19791,0.000629798,0.000629798,0.000629798
37,2415.09,1.19121,0.6267,1.23192,0.94382,0.92012,0.92888,0.61459,1.13251,0.51896,1.18655,0.000616049,0.000616049,0.000616049
38,2449.45,1.18636,0.61863,1.2219,0.94724,0.8963,0.94308,0.63834,1.10189,0.49864,1.19139,0.000602301,0.000602301,0.000602301
39,2479.15,1.17423,0.6011,1.21203,0.89598,0.91385,0.91285,0.59712,1.14058,0.50303,1.21051,0.000588552,0.000588552,0.000588552
40,2511.6,1.17178,0.60913,1.21663,0.9266,0.89006,0.90501,0.60438,1.13047,0.49549,1.20097,0.000574804,0.000574804,0.000574804
41,2543.86,1.18384,0.6081,1.22133,0.95686,0.9008,0.92736,0.6363,1.07826,0.48238,1.16926,0.000561055,0.000561055,0.000561055
42,2576.15,1.16393,0.59663,1.20471,0.94788,0.87334,0.90752,0.63355,1.08805,0.4819,1.16645,0.000547306,0.000547306,0.000547306
43,2608.72,1.16625,0.59325,1.20673,0.98158,0.92154,0.94219,0.63813,1.09771,0.49293,1.17474,0.000533558,0.000533558,0.000533558
44,2644.13,1.14585,0.58092,1.19087,0.89272,0.91081,0.91956,0.64324,1.06222,0.47894,1.15293,0.000519809,0.000519809,0.000519809
45,2680.98,1.14364,0.58038,1.18653,0.92751,0.9229,0.93478,0.63298,1.0782,0.47518,1.16675,0.00050606,0.00050606,0.00050606
46,2715.24,1.13744,0.58117,1.18972,0.9099,0.92237,0.93706,0.6505,1.07132,0.46706,1.15115,0.000492312,0.000492312,0.000492312
47,2752.51,1.15347,0.58254,1.19964,0.97537,0.90824,0.94661,0.64969,1.06625,0.48145,1.15285,0.000478563,0.000478563,0.000478563
48,2795.78,1.13573,0.56953,1.18528,0.99265,0.90649,0.93614,0.65238,1.06775,0.46931,1.15536,0.000464815,0.000464815,0.000464815
49,2833.83,1.11336,0.56072,1.17112,0.94531,0.8978,0.92273,0.65484,1.02757,0.46315,1.13262,0.000451066,0.000451066,0.000451066
50,2867.99,1.12366,0.56617,1.17737,0.96791,0.90655,0.92652,0.63202,1.11528,0.46836,1.17332,0.000437317,0.000437317,0.000437317
51,2903.15,1.10403,0.55648,1.16785,0.94081,0.89262,0.92485,0.6397,1.07316,0.45928,1.1631,0.000423569,0.000423569,0.000423569
52,2938.66,1.09741,0.55367,1.17092,0.9324,0.92397,0.93484,0.6591,1.08627,0.46667,1.14822,0.00040982,0.00040982,0.00040982
53,2975.19,1.09906,0.5526,1.16945,0.95328,0.94303,0.9476,0.66744,1.00971,0.44424,1.11656,0.000396071,0.000396071,0.000396071
54,3013.77,1.09338,0.55154,1.16252,0.94658,0.92775,0.93911,0.66944,1.00647,0.44154,1.11141,0.000382323,0.000382323,0.000382323
55,3049.08,1.08769,0.54761,1.16332,0.93821,0.94492,0.95669,0.65496,1.05648,0.4468,1.13981,0.000368574,0.000368574,0.000368574
56,3086.22,1.09952,0.55073,1.1703,0.97507,0.92248,0.95179,0.66344,1.00892,0.445,1.11854,0.000354826,0.000354826,0.000354826
57,3121.81,1.0795,0.53909,1.15659,0.9579,0.92271,0.94912,0.6796,0.97835,0.43554,1.09752,0.000341077,0.000341077,0.000341077
58,3155.52,1.08537,0.53859,1.15492,0.95928,0.9263,0.95651,0.67094,0.97878,0.43625,1.10247,0.000327328,0.000327328,0.000327328
59,3189.3,1.07957,0.5283,1.15449,0.95379,0.9271,0.95476,0.67937,0.99606,0.43309,1.10608,0.00031358,0.00031358,0.00031358
60,3225.31,1.05758,0.5292,1.14801,0.97981,0.89036,0.93239,0.67732,0.97026,0.42994,1.10061,0.000299831,0.000299831,0.000299831
61,3268.14,1.06332,0.52473,1.14485,0.9848,0.92651,0.95802,0.66224,1.05937,0.44546,1.13046,0.000286083,0.000286083,0.000286083
62,3300.52,1.04533,0.52151,1.1402,0.94755,0.92349,0.94447,0.67881,0.98997,0.42614,1.1116,0.000272334,0.000272334,0.000272334
63,3327.47,1.0477,0.51955,1.13969,0.95994,0.92764,0.9573,0.6795,0.9717,0.4229,1.09861,0.000258585,0.000258585,0.000258585
64,3354.49,1.04902,0.51404,1.13961,0.95211,0.94192,0.95597,0.70697,0.9681,0.41893,1.09354,0.000244837,0.000244837,0.000244837
65,3381.45,1.04053,0.51133,1.14228,0.98272,0.92521,0.96098,0.70292,0.95648,0.41209,1.08402,0.000231088,0.000231088,0.000231088
66,3408.36,1.03211,0.50891,1.13261,0.95554,0.95656,0.95946,0.69993,0.95877,0.41639,1.09058,0.000217339,0.000217339,0.000217339
67,3435.08,1.03541,0.50913,1.13577,0.96162,0.91977,0.95723,0.71276,0.93979,0.40806,1.07845,0.000203591,0.000203591,0.000203591
68,3462.13,1.03351,0.50416,1.1326,0.95468,0.91851,0.9503,0.69144,0.96384,0.41903,1.08531,0.000189842,0.000189842,0.000189842
69,3489.04,1.01788,0.50341,1.12173,0.95248,0.94268,0.95662,0.70415,0.93592,0.40601,1.07678,0.000176094,0.000176094,0.000176094
70,3516.17,1.01455,0.50255,1.1274,0.9641,0.94035,0.96105,0.70542,0.93209,0.40457,1.07444,0.000162345,0.000162345,0.000162345
71,3553.94,0.98464,0.448,1.13488,0.96213,0.9382,0.95776,0.69174,0.97716,0.41597,1.08816,0.000148596,0.000148596,0.000148596
72,3580.82,0.96521,0.43426,1.12617,0.94606,0.94379,0.96216,0.70718,0.91742,0.40725,1.06526,0.000134848,0.000134848,0.000134848
73,3608.01,0.93874,0.42991,1.11283,0.9564,0.94166,0.96003,0.71041,0.90507,0.40097,1.05946,0.000121099,0.000121099,0.000121099
74,3635.49,0.93835,0.426,1.1074,0.95556,0.94245,0.95705,0.70265,0.89486,0.39494,1.05167,0.00010735,0.00010735,0.00010735
75,3663.71,0.92752,0.42417,1.10654,0.97326,0.96079,0.96271,0.71313,0.88104,0.39029,1.04866,9.36017e-05,9.36017e-05,9.36017e-05
76,3691.74,0.92636,0.42075,1.10441,0.95933,0.95866,0.96284,0.72286,0.88264,0.39012,1.0465,7.98531e-05,7.98531e-05,7.98531e-05
77,3720.42,0.91498,0.42248,1.09694,0.94612,0.95811,0.9611,0.71347,0.88912,0.39252,1.04865,6.61045e-05,6.61045e-05,6.61045e-05
78,3749.03,0.90592,0.41416,1.09586,0.96001,0.95784,0.9623,0.72221,0.86969,0.38499,1.03707,5.23559e-05,5.23559e-05,5.23559e-05
79,3777.7,0.90277,0.4142,1.09533,0.95907,0.96016,0.96133,0.72396,0.87685,0.38772,1.04166,3.86073e-05,3.86073e-05,3.86073e-05
80,3804.97,0.8972,0.41197,1.09204,0.96003,0.96078,0.96459,0.72279,0.87463,0.38641,1.04037,2.48586e-05,2.48586e-05,2.48586e-05
