epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.2233,2.02558,2.19668,2.00234,0.90917,0.91953,0.95201,0.59184,1.26239,0.77943,1.34635,0.000368972,0.000368972,0.000368972
2,129.172,1.54628,1.05028,1.57854,0.95961,0.95615,0.98243,0.65667,1.17502,0.66197,1.23559,0.000724667,0.000724667,0.000724667
3,160.058,1.37567,0.89081,1.43029,0.98105,0.96419,0.98847,0.68464,1.08825,0.60497,1.15591,0.0010657,0.0010657,0.0010657
4,190.832,1.27364,0.80778,1.34204,0.98382,0.96713,0.98573,0.6937,1.03246,0.58335,1.12996,0.00104501,0.00104501,0.00104501
5,221.456,1.21777,0.76598,1.2925,0.96912,0.96364,0.98998,0.70043,1.0229,0.55604,1.09227,0.00102301,0.00102301,0.00102301
6,252.193,1.15745,0.71859,1.24858,0.97693,0.97082,0.9887,0.71408,0.98351,0.51726,1.06348,0.00100101,0.00100101,0.00100101
7,283.761,1.12807,0.68753,1.22433,0.98872,0.97105,0.98932,0.72552,0.99103,0.52014,1.07537,0.000979013,0.000979013,0.000979013
8,315.574,1.09854,0.66394,1.19612,0.98153,0.97835,0.99007,0.73945,0.92748,0.49529,1.03244,0.000957015,0.000957015,0.000957015
9,347.045,1.07806,0.64619,1.17856,0.98534,0.96566,0.98856,0.73579,0.91841,0.48195,1.02857,0.000935018,0.000935018,0.000935018
10,378.406,1.05934,0.63365,1.16545,0.99345,0.97893,0.99429,0.73027,0.96076,0.48167,1.0308,0.00091302,0.00091302,0.00091302
11,409.941,1.04193,0.61199,1.14881,0.98377,0.97674,0.98883,0.73772,0.93032,0.46455,1.02426,0.000891022,0.000891022,0.000891022
12,441.345,1.02613,0.60503,1.14063,0.99225,0.97324,0.99316,0.74866,0.88593,0.45446,1.00365,0.000869024,0.000869024,0.000869024
13,472.877,1.02102,0.59579,1.14028,0.98633,0.97982,0.9933,0.73191,0.90928,0.45769,1.00764,0.000847026,0.000847026,0.000847026
14,504.418,1.00227,0.5836,1.12355,0.99676,0.97746,0.9947,0.74503,0.90513,0.4436,1.00343,0.000825029,0.000825029,0.000825029
15,536.072,0.99736,0.5744,1.11923,0.98878,0.98141,0.99123,0.74057,0.91464,0.4589,1.00505,0.000803031,0.000803031,0.000803031
16,567.491,0.9915,0.56469,1.11443,0.99001,0.97974,0.99152,0.75111,0.89312,0.44549,1.00048,0.000781033,0.000781033,0.000781033
17,599.172,0.97968,0.55816,1.105,0.99596,0.9823,0.9937,0.75126,0.86357,0.43108,0.98655,0.000759035,0.000759035,0.000759035
18,631.003,0.9707,0.54761,1.09933,0.99254,0.97758,0.99227,0.75274,0.88323,0.43857,0.99556,0.000737037,0.000737037,0.000737037
19,662.551,0.96034,0.54261,1.09108,0.99131,0.97737,0.9922,0.76185,0.85955,0.41939,0.98184,0.00071504,0.00071504,0.00071504
20,693.875,0.95816,0.53666,1.09283,0.99707,0.97855,0.99337,0.75881,0.87355,0.40907,0.98757,0.000693042,0.000693042,0.000693042
21,725.267,0.94371,0.52881,1.08299,0.99619,0.98103,0.99175,0.76493,0.88688,0.41436,0.97976,0.000671044,0.000671044,0.000671044
22,757.285,0.93661,0.52013,1.08297,0.99028,0.98755,0.99231,0.76443,0.87033,0.41286,0.98111,0.000649046,0.000649046,0.000649046
23,788.779,0.92818,0.5153,1.07791,0.99353,0.98714,0.9949,0.76342,0.8467,0.41047,0.9734,0.000627048,0.000627048,0.000627048
24,820.179,0.92851,0.51032,1.07326,0.99361,0.98505,0.99478,0.76719,0.84715,0.40187,0.97472,0.000605051,0.000605051,0.000605051
25,851.726,0.91898,0.50699,1.06685,0.99311,0.98834,0.99196,0.761,0.86537,0.40951,0.97729,0.000583053,0.000583053,0.000583053
26,883.142,0.91899,0.50571,1.06749,0.99043,0.98793,0.99291,0.76922,0.85218,0.40349,0.96959,0.000561055,0.000561055,0.000561055
27,914.746,0.91023,0.50032,1.06379,0.99368,0.98972,0.99482,0.77085,0.84743,0.39534,0.96954,0.000539057,0.000539057,0.000539057
28,946.214,0.90839,0.49472,1.06473,0.99402,0.9872,0.99359,0.76742,0.85397,0.39977,0.9713,0.000517059,0.000517059,0.000517059
29,977.741,0.90007,0.48971,1.05884,0.99285,0.98587,0.99185,0.77267,0.83754,0.3933,0.96242,0.000495062,0.000495062,0.000495062
30,1009.18,0.89561,0.48579,1.05465,0.99233,0.98665,0.99366,0.77085,0.84783,0.3917,0.95952,0.000473064,0.000473064,0.000473064
31,1040.96,0.88968,0.48196,1.05469,0.9937,0.98427,0.99343,0.77616,0.82774,0.38422,0.95936,0.000451066,0.000451066,0.000451066
32,1072.47,0.88505,0.48041,1.05247,0.98526,0.98437,0.99339,0.76854,0.84546,0.38821,0.96898,0.000429068,0.000429068,0.000429068
33,1104.08,0.88364,0.47579,1.05035,0.99639,0.98662,0.99343,0.77818,0.8438,0.38156,0.96282,0.00040707,0.00040707,0.00040707
34,1135.78,0.88645,0.47285,1.05143,0.99724,0.98803,0.99494,0.77617,0.8288,0.37931,0.95948,0.000385073,0.000385073,0.000385073
35,1167.45,0.86762,0.46511,1.04154,0.99472,0.98895,0.99464,0.78162,0.81235,0.38039,0.95401,0.000363075,0.000363075,0.000363075
36,1199.19,0.87097,0.46818,1.0433,0.9975,0.98917,0.99496,0.77899,0.81412,0.36962,0.95332,0.000341077,0.000341077,0.000341077
37,1230.95,0.86546,0.46049,1.04094,0.9941,0.98487,0.99357,0.786,0.81225,0.37673,0.95098,0.000319079,0.000319079,0.000319079
38,1266.49,0.8617,0.45621,1.03786,0.99582,0.98433,0.99275,0.77707,0.82926,0.37838,0.95846,0.000297081,0.000297081,0.000297081
39,1299.82,0.85951,0.45479,1.03658,0.99063,0.99187,0.99357,0.7791,0.81944,0.38177,0.95226,0.000275084,0.000275084,0.000275084
40,1331.49,0.85477,0.45158,1.03411,0.99751,0.99101,0.99372,0.78348,0.81927,0.37027,0.95614,0.000253086,0.000253086,0.000253086
41,1375.38,0.94006,0.43247,1.03538,0.99672,0.98807,0.99494,0.77861,0.81453,0.36957,0.95337,0.000231088,0.000231088,0.000231088
42,1408.26,0.9317,0.42362,1.02652,0.99406,0.98819,0.99498,0.78032,0.81909,0.36519,0.95068,0.00020909,0.00020909,0.00020909
43,1439.61,0.91259,0.41489,1.01867,0.99457,0.98684,0.99364,0.78418,0.81193,0.36403,0.95059,0.000187092,0.000187092,0.000187092
44,1470.8,0.90704,0.4127,1.01787,0.99395,0.99107,0.99373,0.78312,0.807,0.35509,0.94925,0.000165095,0.000165095,0.000165095
45,1502.66,0.9002,0.40688,1.00989,0.99488,0.98967,0.9934,0.78486,0.81794,0.35774,0.94766,0.000143097,0.000143097,0.000143097
46,1535.57,0.90202,0.40515,1.00924,0.99472,0.99084,0.99356,0.78468,0.8105,0.35364,0.94295,0.000121099,0.000121099,0.000121099
47,1568.94,0.89687,0.40291,1.00974,0.99712,0.99062,0.99367,0.78643,0.81469,0.35658,0.94182,9.91012e-05,9.91012e-05,9.91012e-05
48,1601.44,0.88335,0.39921,1.00007,0.99709,0.99115,0.995,0.78695,0.80684,0.35015,0.94187,7.71034e-05,7.71034e-05,7.71034e-05
49,1634.33,0.88267,0.39668,1.00111,0.99653,0.99254,0.995,0.78421,0.81041,0.35076,0.94286,5.51056e-05,5.51056e-05,5.51056e-05
50,1667.06,0.87882,0.39485,0.99902,0.99483,0.98862,0.99355,0.78729,0.80597,0.35004,0.94088,3.31078e-05,3.31078e-05,3.31078e-05
